CustomerID,Recency,Frequency,Monetary,AvgOrderValue,CustomerLifespan,DaysSinceFirstPurchase,AvgPurchaseInterval,PurchaseConsistency,PurchaseDiversity,Cluster,Segment
12346.0,326,1,77183.6,77183.6,0,326,0.0,0.0,0.0,0,Big Spenders
12347.0,2,7,4310.0,615.7142857142857,365,367,2.0,11.260550608207398,4.169696562365928,2,Regular
12348.0,75,4,1797.24,449.31,282,358,9.4,34.08872803890378,2.934398484741327,4,Regular
12349.0,19,1,1757.55,1757.55,0,19,0.0,0.0,4.0217886449722835,3,New
12350.0,310,1,334.4,334.4,0,310,0.0,0.0,2.756832474724854,0,At Risk
12352.0,36,8,2506.04,313.255,260,297,3.0714285714285716,20.15230305489979,3.8589942933722594,4,Regular
12353.0,204,1,89.0,89.0,0,204,0.0,0.0,1.2798542258336676,0,At Risk
12354.0,232,1,1079.4,1079.4,0,232,0.0,0.0,3.6678917285340344,0,At Risk
12355.0,214,1,459.4,459.4,0,214,0.0,0.0,1.8396316992256019,0,At Risk
12356.0,23,3,2811.43,937.1433333333333,302,326,5.206896551724138,30.81111591429054,3.6518617607436004,4,Regular
12357.0,33,1,6207.67,6207.67,0,33,0.0,0.0,4.632647032410024,3,New
12358.0,2,2,1168.06,584.03,149,151,8.277777777777779,35.11963679893186,2.244221729056843,1,Regular
12359.0,58,4,6310.03,1577.5075,274,332,1.1188524590163935,11.298339817351385,5.086108617214361,4,Regular
12360.0,52,3,2662.06,887.3533333333334,148,201,1.15625,9.37951990779845,4.524629256578933,4,Regular
12361.0,287,1,189.9,189.9,0,287,0.0,0.0,2.20476955475441,0,At Risk
12362.0,3,10,5226.23,522.6229999999999,292,296,1.0830188679245283,7.3366487645477205,4.986994430759849,2,Regular
12363.0,110,2,552.0,276.0,132,242,6.0,28.142494558940577,2.9766865283058963,1,Regular
12364.0,8,4,1313.1,328.275,104,112,1.2261904761904763,6.421633599308174,3.9471382342487775,4,New
12365.0,291,2,641.38,320.69,0,291,0.0,0.0,2.954814663080752,0,At Risk
12367.0,4,1,168.9,168.9,0,4,0.0,0.0,1.9812257438710932,3,New
12370.0,51,4,3541.94,885.485,309,360,1.8666666666666667,18.486492541963308,4.146786332434448,4,Regular
12371.0,45,2,1887.96,943.98,14,60,0.22580645161290322,1.778001778002667,3.9817033416585685,3,New
12372.0,72,3,1298.04,432.68,224,297,4.392156862745098,22.709538464154264,3.309476405728557,4,Regular
12373.0,311,1,364.6,364.6,0,311,0.0,0.0,2.482058678886548,0,At Risk
12374.0,25,1,742.9300000000001,742.9300000000001,0,25,0.0,0.0,3.303811168993395,3,New
12375.0,11,2,457.5,228.75,87,98,5.4375,21.75,2.4033206191631113,1,New
12377.0,315,2,1628.12,814.06,39,355,0.5131578947368421,4.473606810475954,4.04216361990764,4,At Risk
12378.0,130,1,4008.62,4008.62,0,130,0.0,0.0,4.9177881646912285,3,New
12379.0,82,2,852.24,426.12,88,170,2.2564102564102564,14.091277534847666,3.5164605795115387,4,New
12380.0,22,4,2724.81,681.2025,164,186,1.5728155339805825,11.198390939867625,4.090607441355012,4,Regular
12381.0,5,5,1845.31,369.062,115,120,1.313953488372093,7.561919500959243,4.018897333427475,2,New
12383.0,185,5,1850.56,370.11199999999997,167,352,1.683673469387755,8.825451641461967,3.9619667741838143,4,Regular
12384.0,29,2,585.27,292.635,92,122,3.5384615384615383,18.042684432712928,3.0543068352433234,4,New
12386.0,338,2,401.9,200.95,29,367,3.2222222222222223,9.666666666666666,1.8325150737269966,1,At Risk
12388.0,16,6,2780.66,463.4433333333333,311,327,3.121212121212121,15.983583879024469,3.7649218669850884,2,Regular
12390.0,80,1,549.84,549.84,0,80,0.0,0.0,3.1313315255899514,3,New
